Supplement,Effectiveness,Description
Beet,Possibly Effective for,Athletic performance. Drinking beetroot juice might improve exercise performance during aerobic activities in some people. But it's unclear how much or how often beetroot juice is needed for benefit. And any benefit in elite athletes might be too small to be meaningful. Muscle soreness caused by exercise. Drinking beetroot juice a few times a day for about 48 hours after exercise may reduce muscle soreness after sprinting or jumping.
Beet,Insufficient Evidence for,"Heart disease. Early research shows that taking red beetroot extract for 2 weeks can reduce total cholesterol, low-density lipoprotein (LDL or ""bad"") cholesterol, and triglycerides in people with heart disease. High blood pressure. Drinking beetroot juice might reduce blood pressure in some people. But it doesn't seem to work in people with high blood pressure. High levels of fats called triglycerides in the blood (hypertriglyceridemia). Taking a mixture of beet and hawthorn seems to reduce triglycerides by a small amount in people at risk of heart disease. But taking beet leaf doesn't seem to reduce triglycerides. Obesity. Taking beet leaf doesn't seem to improve weight loss when taken for 4 weeks in people already given nutrition advice. High blood pressure during pregnancy. Early research shows that taking beetroot juice doesn't lower blood pressure in pregnant women with high blood pressure. High blood pressure in arteries in the lungs (pulmonary hypertension). Early research shows that taking beetroot juice doesn't lower blood pressure in the lungs of people with pulmonary hypertension. Painful response to cold especially in the fingers and toes (Raynaud syndrome). Early research shows that drinking beetroot juice for 2 weeks does not seem to reduce pain in the fingers or toes when people with Raynaud syndrome are exposed to cold temperatures. Liver disease. Other conditions."
Belladonna,,
Benfotiamine,Possibly Effective for,"Nerve pain in people with diabetes (diabetic neuropathy). Taking benfotiamine by mouth, with or without vitamin B6 and B12, can improve pain and other symptoms of nerve damage caused by diabetes."
Benfotiamine,Possibly Ineffective for,Kidney damage in people with diabetes (diabetic nephropathy). Taking benfotiamine by mouth does not seem to improve markers of kidney damage in people with diabetes who have kidney disease.
Benzoin,Insufficient Evidence for,Swelling (inflammation) of the main airways in the lung (bronchitis). Canker sores. Common cold. Cough. Cracked skin. Croup. A mild form of gum disease (gingivitis). Cold sores (herpes labialis). Swelling (inflammation) of the voice box (laryngitis). Bed sores (pressure ulcers). Sore throat. Wound healing. Other conditions.
Berberine,Possibly Effective for,"Canker sores. Applying a gel containing berberine can reduce pain, redness, oozing, and the size of canker sores. Diabetes. Taking berberine by mouth seems to slightly reduce blood sugar levels in people with diabetes. A digestive tract infection that can lead to ulcers (Helicobacter pylori or H. pylori). Adding berberine by mouth to multiple medications that are typically used to treat this condition might work as well as other accepted treatments for this condition. These other treatments also use multiple medications. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking berberine by mouth, alone or with other ingredients, might help lower total cholesterol, low-density lipoprotein (LDL or ""bad"") cholesterol, and triglyceride levels in people with high cholesterol. High blood pressure. Taking 0.9 grams of berberine by mouth daily along with the blood pressure-lowering drug amlodipine reduces blood pressure better than taking amlodipine alone in people with high blood pressure. A hormonal disorder that causes enlarged ovaries with cysts (polycystic ovary syndrome or PCOS). Taking berberine by mouth might lower blood sugar, improve cholesterol and triglyceride levels, reduce testosterone levels, and lower waist-to-hip ratio in people with PCOS."
Bergamot,Possibly Effective for,"High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking bergamot extract by mouth seems to lower low-density lipoprotein (LDL or ""bad"") cholesterol levels in people with high cholesterol. It's not clear if it helps high-density lipoprotein (HDL or ""good"") cholesterol or triglyceride levels."
Bergamot,Possibly Ineffective for,"Anxiety. Inhaling bergamot oil as aromatherapy doesn't seem to reduce anxiety in people undergoing radiation therapy. Mental alertness. Inhaling bergamot oil as aromatherapy doesn't seem to improve mental alertness. In fact, it might decrease mental alertness in healthy adults due to its relaxing effects."
Beta-Alanine,Possibly Effective for,Athletic performance. Taking beta-alanine by mouth can somewhat improve some measures of athletic performance. But not all research agrees. It might increase the amount of exercise done but not how well it is done. Physical performance in elderly adults. Taking beta-alanine by mouth improves the ability to exercise and delays muscle tiredness in older adults. But it doesn't seem to help with strength training.
Beta-Carotene,Effective for,"An inherited disorder marked by sensitivity to light (erythropoietic protoporphyria or EPP)."" Taking beta-carotene by mouth can reduce sensitivity to the sun in people with this condition."
Beta-Carotene,Possibly Effective for,"Breast cancer. Eating more beta-carotene in the diet is linked to a lower risk of breast cancer in high risk, pre-menopausal females. In people with breast cancer, eating more beta-carotene in the diet is linked to an increased chance of survival. Complications after childbirth. Taking beta-carotene by mouth before, during, and after pregnancy might decrease the risk of diarrhea and fever after childbirth. It also seems to reduce the risk of pregnancy-related death. Sunburn. Taking beta-carotene by mouth might decrease sunburn risk in people sensitive to the sun."
Beta-Carotene,Possibly Ineffective for,"Ballooning of a blood vessel wall (aneurysm). Taking beta-carotene by mouth doesn't reduce the risk for an aneurysm in the stomach in male smokers. Alzheimer disease. Eating a diet high in beta-carotene does not seem to reduce the risk of Alzheimer disease. Cataracts. Taking beta-carotene by mouth, alone or together with vitamin C, vitamin E, and zinc, doesn't seem to reduce the risk or progression of cataracts. Cystic fibrosis. Taking beta-carotene by mouth does not improve lung function in people with cystic fibrosis. Diabetes. Taking beta-carotene by mouth doesn't reduce the risk of developing diabetes or diabetes-related complications. Non-cancerous moles (dysplastic nevi). Taking beta-carotene by mouth does not reduce the development of new moles. Cancer of the esophagus. Taking beta-carotene by mouth doesn't seem to reduce the risk of esophageal cancer. Liver cancer. Taking beta-carotene by mouth, alone or with vitamin E, does not prevent liver cancer in male smokers. Liver disease. Taking beta-carotene by mouth, alone or with vitamin E, does not prevent death due to liver disease in male smokers. Death from any cause. Taking beta-carotene by mouth doesn't seem to reduce the risk of death from any cause. Stroke. Taking beta-carotene by mouth does not reduce the risk of stroke in male smokers. It might actually increase the risk in people who drink alcohol."
Beta-Carotene,Likely InEffective for,"Cancer. Taking beta-carotene by mouth does not reduce the risk for most types of cancer. Heart disease. Taking beta-carotene by mouth does not reduce the risk for heart disease. It might actually increase the risk for heart disease-related death in some people. Non-cancerous growths in the large intestine and rectum (colorectal adenoma). Taking beta-carotene by mouth does not decrease the risk of these growths. In people who smoke cigarettes and drink alcohol, taking beta-carotene supplements might actually increase the risk for these growths. Lung cancer. Taking beta-carotene supplements by mouth seems to increase the risk of lung cancer in some people. Beta-carotene from food does not seem to have this effect. Prostate cancer. Taking beta-carotene supplements by mouth does not prevent prostate cancer in most people. In fact, taking beta-carotene supplements might actually increase the risk of prostate cancer in some people."
Beta-Cryptoxanthin,,
Beta-Glucans,Likely Effective for,"Heart disease. Eating at least 3.6 grams of beta-glucans or other soluble fibers daily as part of a low-fat, low-cholesterol diet might help prevent heart disease. Oat and barley products contain large amounts of beta-glucans. High cholesterol. Taking beta-glucans made from oats or barley by mouth for several weeks seems to reduce total cholesterol and low-density lipoprotein (LDL or ""bad"") cholesterol in people with high cholesterol."
Beta-Hydroxybutyrate (Bhb),,
